RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
15	 Secretary of State	22633	Kathleen Drew	0	0	(Prefers Democratic Party)	State Executive
16	 State Treasurer	24576	Jim McIntire	0	0	(Prefers Democratic Party)	State Executive
16	 State Treasurer	27971	Sharon Hanek	0	0	(Prefers Republican Party)	State Executive
17	 State Auditor	22785	James Watkins	0	0	(Prefers Republican Party)	State Executive
17	 State Auditor	23764	Troy Kelley	0	0	(Prefers Democratic Party)	State Executive
18	 Attorney General	24100	Bob Ferguson	0	0	(Prefers Democratic Party)	State Executive
18	 Attorney General	22967	Reagan Dunn	0	0	(Prefers Republican Party)	State Executive
19	 Commissioner of Public Lands	22479	Peter J. Goldmark	0	0	(Prefers Democratic Party)	State Executive
19	 Commissioner of Public Lands	27283	Clint Didier	0	0	(Prefers Republican Party)	State Executive
20	 Superintendent of Public Instruction	22926	Randy I. Dorn	0	0		State Executive
21	 Insurance Commissioner	23279	Mike Kreidler	0	0	(Prefers Democratic Party)	State Executive
21	 Insurance Commissioner	24724	John R. Adams	0	0	(Prefers Republican Party)	State Executive
228	 Legislative District 1 - State Senator	24480	Rosemary McAuliffe	0	0	(Prefers Democratic  Party)	Legislative
228	 Legislative District 1 - State Senator	25074	Dawn McCravey	0	0	(Prefers Republican Party)	Legislative
229	 Legislative District 1 - State Representative Pos. 1	23273	Derek Stanford	0	0	(Prefers Democratic Party)	Legislative
229	 Legislative District 1 - State Representative Pos. 1	26803	Sandy Guinn	0	0	(Prefers Republican Party)	Legislative
230	 Legislative District 1 - State Representative Pos. 2	23393	Luis Moscoso	0	0	(Prefers Democratic Party)	Legislative
230	 Legislative District 1 - State Representative Pos. 2	27829	Mark T. Davies	0	0	(States No Party Preference)	Legislative
231	 Legislative District 2 - State Senator	24545	Randi Becker	0	0	(Prefers Republican Party)	Legislative
231	 Legislative District 2 - State Senator	25673	Bruce L. Lachney	0	0	(Prefers Democratic Party)	Legislative
232	 Legislative District 2 - State Representative Pos. 1	23680	Gary Alexander	0	0	(Prefers Republican Party)	Legislative
232	 Legislative District 2 - State Representative Pos. 1	27540	Greg Hartman	0	0	(Prefers Democratic Party)	Legislative
233	 Legislative District 2 - State Representative Pos. 2	23612	J.T. Wilcox	0	0	(Prefers Republican Party)	Legislative
234	 Legislative District 3 - State Senator	23586	Andy Billig	0	0	(Prefers Democratic Party)	Legislative
234	 Legislative District 3 - State Senator	22921	Nancy McLaughlin	0	0	(Prefers G.O.P. Party)	Legislative
235	 Legislative District 3 - State Representative Pos. 1	24601	Marcus Riccelli	0	0	(Prefers Democratic Party)	Legislative
235	 Legislative District 3 - State Representative Pos. 1	24227	Tim Benn	0	0	(Prefers G.O.P. Party)	Legislative
236	 Legislative District 3 - State Representative Pos. 2	23480	Timm Ormsby	0	0	(Prefers Democratic Party)	Legislative
236	 Legislative District 3 - State Representative Pos. 2	25910	Dave White	0	0	(Prefers Republican Party)	Legislative
237	 Legislative District 4 - State Senator	23275	Mike Padden	0	0	(Prefers Republican  Party)	Legislative
238	 Legislative District 4 - State Representative Pos. 1	22939	Larry Crouse	0	0	(Prefers Republican Party)	Legislative
239	 Legislative District 4 - State Representative Pos. 2	27158	Matt Shea	0	0	(Prefers Republican Party)	Legislative
239	 Legislative District 4 - State Representative Pos. 2	24582	Amy C. Biviano	0	0	(Prefers Democratic Party)	Legislative
240	 Legislative District 5 - State Senator	24710	Mark Mullet	0	0	(Prefers Democratic Party)	Legislative
240	 Legislative District 5 - State Senator	26002	Brad Toft	0	0	(Prefers Republican Party)	Legislative
241	 Legislative District 5 - State Representative Pos. 1	24610	Jay Rodne	0	0	(Prefers Republican Party)	Legislative
242	 Legislative District 5 - State Representative Pos. 2	24445	Chad Magendanz	0	0	(Prefers Republican Party)	Legislative
242	 Legislative District 5 - State Representative Pos. 2	27876	David Spring	0	0	(Prefers Democratic Party)	Legislative
244	 Legislative District 6 - State Representative Pos. 1	25424	Kevin Parker	0	0	(Prefers Republican Party)	Legislative
245	 Legislative District 6 - State Representative Pos. 2	22953	Dennis Dellwo	0	0	(Prefers Democratic Party)	Legislative
245	 Legislative District 6 - State Representative Pos. 2	22745	Jeff Holy	0	0	(Prefers Republican Party)	Legislative
247	 Legislative District 7 - State Representative Pos. 1	23551	Shelly Short	0	0	(Prefers Republican Party)	Legislative
248	 Legislative District 7 - State Representative Pos. 2	25778	Joel Kretz	0	0	(Prefers Republican Party)	Legislative
248	 Legislative District 7 - State Representative Pos. 2	26271	Robert (Bob) Wilson	0	0	(Prefers Republican Party)	Legislative
251	 Legislative District 8 - State Representative Pos. 1	24293	Jay Clough	0	0	(Prefers Democratic Party)	Legislative
251	 Legislative District 8 - State Representative Pos. 1	26073	Brad Klippert	0	0	(Prefers Republican Party)	Legislative
252	 Legislative District 8 - State Representative Pos. 2	23180	Larry Haler	0	0	(Prefers Republican Party)	Legislative
252	 Legislative District 8 - State Representative Pos. 2	26862	Richard Reuther	0	0	(Prefers Democratic Party)	Legislative
253	 Legislative District 9 - State Senator	24120	Mark G. Schoesler	0	0	(Prefers G.O.P. Party)	Legislative
254	 Legislative District 9 - State Representative Pos. 1	24617	Susan Fagan	0	0	(Prefers Republican Party)	Legislative
255	 Legislative District 9 - State Representative Pos. 2	23914	Joe Schmick	0	0	(Prefers Republican  Party)	Legislative
256	 Legislative District 10 - State Senator	25604	Barbara Bailey	0	0	(Prefers Republican Party)	Legislative
256	 Legislative District 10 - State Senator	25196	Mary Margaret Haugen	0	0	(Prefers Democratic Party)	Legislative
257	 Legislative District 10 - State Representative Pos. 1	23582	Norma Smith	0	0	(Prefers Republican Party)	Legislative
257	 Legislative District 10 - State Representative Pos. 1	25971	Aaron Simpson	0	0	(Prefers Democratic Party)	Legislative
258	 Legislative District 10 - State Representative Pos. 2	23792	Dave Hayes	0	0	(Prefers Republican Party)	Legislative
258	 Legislative District 10 - State Representative Pos. 2	23329	Tom Riggs	0	0	(Prefers Democratic Party)	Legislative
259	 Legislative District 11 - State Senator	24629	Bob Hasegawa	0	0	(Prefers Democratic Party)	Legislative
259	 Legislative District 11 - State Senator	27866	Kristin Thompson	0	0	(Prefers Republican Party)	Legislative
260	 Legislative District 11 - State Representative Pos. 1	27915	Zack Hudgins	0	0	(Prefers Democratic Party)	Legislative
260	 Legislative District 11 - State Representative Pos. 1	24606	Jim Flynn	0	0	(Prefers Democratic Party)	Legislative
